"inventory_flow_id","warehouse_id","warehouse_name","warehouse_street_address","warehouse_city","warehouse_state","warehouse_postal_code","warehouse_country","product_id","product_name","sku","movement_type","quantity","unit_of_measure","movement_datetime","source_location_type","source_location_id","destination_location_type","destination_location_id","reference_document_number","movement_reason","handled_by_user_id","comments"
"IFLOW00025","WH004","Eastgate Logistics","340 Gate Blvd","Charlotte","NC","28202","USA","PRD00176","Thermal Tape","TT-TH-176","inbound","2500","rolls","2024-03-14T11:05:00","supplier","SUP-1128","warehouse","WH004","PO-112800176","Restocking for spring orders","USR2008","Received thermal tape shipment, batch checked."
"IFLOW00026","WH011","Northfield Depot","208 Maple St","Minneapolis","MN","55401","USA","PRD00024","Heavy Duty Straps","ST-HD-024","outbound","400","pieces","2024-05-09T16:45:00","warehouse","WH011","customer","CUST-9231","SO-20240509-024","Order fulfillment for industrial client","USR2072","Outbound straps for large customer order."
"IFLOW00027","WH005","Pacific Coast Warehouse","900 Pacific Hwy","San Diego","CA","92101","USA","PRD00103","Heat Shrink Film","HS-FLM-103","transfer","3000","kg","2024-01-21T08:30:00","warehouse","WH005","warehouse","WH014","TRF-20240121-014","Bulk transfer for seasonal demand","USR2020","Film transferred to WH014 for spring peak."
"IFLOW00028","WH010","Golden State Storage","55 Citrus Ave","Fresno","CA","93722","USA","PRD00078","Plastic Pallets","PL-PLT-078","adjustment","25","pieces","2024-04-08T12:10:00","warehouse","WH010","warehouse","WH010","INVADJ-0078","Audit adjustment","USR2049","Inventory reconciled after quarterly audit."
"IFLOW00029","WH008","Sunrise Hub","712 Sunrise Cir","Phoenix","AZ","85001","USA","PRD00112","Packing Foam Sheets","PF-SH-112","inbound","10000","pieces","2024-02-28T07:50:00","supplier","SUP-8890","warehouse","WH008","PO-88900112","Bulk restocking","USR2006","Foam sheets checked in and stored in aisle 7."
"IFLOW00030","WH006","Riverbend Warehouse","431 Riverbend Ln","Little Rock","AR","72201","USA","PRD00187","Stretch Wrap","SW-WRP-187","outbound","250","rolls","2024-05-10T15:31:00","warehouse","WH006","customer","CUST-5912","SO-20240510-187","Order fulfillment - packaging supplies","USR2028","Stretch wrap order for Phoenix customer."
"IFLOW00031","WH012","Metro East Distribution","77 Metro Blvd","Kansas City","MO","64108","USA","PRD00134","Steel Banding","SB-STEEL-134","transfer","5000","kg","2024-03-01T10:12:00","warehouse","WH012","warehouse","WH005","TRF-20240301-005","Transfer for Midwest hub","USR2011","Steel banding moved for upcoming construction."
"IFLOW00032","WH002","Southport Central","44 Harbor Dr","Savannah","GA","31401","USA","PRD00109","Wooden Pallets","WP-PLT-109","inbound","1400","pieces","2024-03-19T09:44:00","supplier","SUP-6724","warehouse","WH002","PO-67240109","Restocking for summer contracts","USR2003","Shipment confirmed and logged."
"IFLOW00033","WH009","Blue Ridge Storage","105 Mountain View Rd","Asheville","NC","28801","USA","PRD00118","Packing Tape","PT-PAK-118","outbound","600","rolls","2024-05-01T11:20:00","warehouse","WH009","customer","CUST-1108","SO-20240501-118","Order fulfillment - retail customer","USR2018","Packing tape shipped, tracking sent."
"IFLOW00034","WH013","Grand Prairie Storage","390 Prairie Rd","Dallas","TX","75201","USA","PRD00032","Recycled Paper Rolls","RP-ROLL-032","transfer","7000","rolls","2024-03-28T09:17:00","warehouse","WH013","warehouse","WH008","TRF-20240328-008","Paper roll transfer for packaging","USR2120","Transferred for expanding packing operations."
"IFLOW00035","WH006","Riverbend Warehouse","431 Riverbend Ln","Little Rock","AR","72201","USA","PRD00141","Shipping Labels","SL-LBL-141","inbound","3200","pieces","2024-02-09T09:22:00","supplier","SUP-1201","warehouse","WH006","PO-120100141","Restock shipping labels","USR2028","Labels counted and stored, batch complete."
"IFLOW00036","WH012","Metro East Distribution","77 Metro Blvd","Kansas City","MO","64108","USA","PRD00116","Plastic Crates","PC-CRT-116","adjustment","40","pieces","2024-04-05T11:38:00","warehouse","WH012","warehouse","WH012","INVADJ-0116","Adjustment after shrinkage","USR2011","Crate count reduced after shrinkage report."
"IFLOW00037","WH007","Redwood Distribution","1203 Redwood Rd","Portland","OR","97230","USA","PRD00157","Corrugated Sheets","CS-SHT-157","inbound","4500","pieces","2024-03-11T08:58:00","supplier","SUP-2207","warehouse","WH007","PO-220700157","Bulk restock pre-holiday","USR2091","Corrugated sheets safely stacked."
"IFLOW00038","WH010","Golden State Storage","55 Citrus Ave","Fresno","CA","93722","USA","PRD00123","Metal Fasteners","MF-FST-123","outbound","600","boxes","2024-05-02T14:02:00","warehouse","WH010","customer","CUST-3017","SO-20240502-123","Customer order for construction site","USR2049","Fasteners boxed and shipped."
"IFLOW00039","WH013","Grand Prairie Storage","390 Prairie Rd","Dallas","TX","75201","USA","PRD00182","Foam Corner Protectors","FC-PRT-182","transfer","800","pieces","2024-02-24T13:00:00","warehouse","WH013","warehouse","WH003","TRF-20240224-003","Transfer for new packaging line","USR2120","Protectors transferred for new equipment."
"IFLOW00040","WH014","Lakeside Storage","850 Lakeside Way","Chicago","IL","60601","USA","PRD00127","Shrink Wrap","SW-WRP-127","inbound","2000","rolls","2024-03-24T07:45:00","supplier","SUP-7777","warehouse","WH014","PO-77770127","Restocking for regional demand","USR2032","Shrink wrap rolls inspected and stored."
"IFLOW00041","WH003","Midwest Hub","18 Riverside Ave","St. Louis","MO","63101","USA","PRD00059","Packing Peanuts","PP-PEA-059","adjustment","120","boxes","2024-04-01T10:45:00","warehouse","WH003","warehouse","WH003","INVADJ-0059","Shrinkage adjustment","USR2055","Packing peanuts lost to moisture, adjusted."
"IFLOW00042","WH008","Sunrise Hub","712 Sunrise Cir","Phoenix","AZ","85001","USA","PRD00159","Tape Dispensers","TD-DSP-159","inbound","180","pieces","2024-03-20T08:50:00","supplier","SUP-1247","warehouse","WH008","PO-124700159","Restocking tape dispensers","USR2006","Dispensers checked in, no damage."
"IFLOW00043","WH011","Northfield Depot","208 Maple St","Minneapolis","MN","55401","USA","PRD00021","Plastic Drums","PD-DRM-021","transfer","360","pieces","2024-02-13T15:25:00","warehouse","WH011","warehouse","WH006","TRF-20240213-006","Transfer for new production run","USR2072","Plastic drums sent for production area."
"IFLOW00044","WH004","Eastgate Logistics","340 Gate Blvd","Charlotte","NC","28202","USA","PRD00100","Poly Bags","PB-BAG-100","outbound","750","pieces","2024-05-15T14:11:00","warehouse","WH004","customer","CUST-4428","SO-20240515-100","Retail order shipment","USR2008","Poly bags shipped for retail partner."
"IFLOW00045","WH005","Pacific Coast Warehouse","900 Pacific Hwy","San Diego","CA","92101","USA","PRD00041","Bubble Envelopes","BE-ENV-041","adjustment","30","pieces","2024-04-12T12:30:00","warehouse","WH005","warehouse","WH005","INVADJ-0041","Adjustment after quality check","USR2020","Envelopes removed due to damage."
"IFLOW00046","WH014","Lakeside Storage","850 Lakeside Way","Chicago","IL","60601","USA","PRD00072","Foam Wrap Rolls","FW-ROLL-072","inbound","2800","rolls","2024-03-27T10:03:00","supplier","SUP-9214","warehouse","WH014","PO-92140072","Restocking for local clients","USR2032","Foam wrap rolls stored in section B."
"IFLOW00047","WH002","Southport Central","44 Harbor Dr","Savannah","GA","31401","USA","PRD00004","Packing Cartons","PC-CAR-004","transfer","9000","pieces","2024-01-29T14:40:00","warehouse","WH002","warehouse","WH010","TRF-20240129-010","Bulk transfer for carton demand","USR2003","Transferred cartons for warehouse expansion."
"IFLOW00048","WH007","Redwood Distribution","1203 Redwood Rd","Portland","OR","97230","USA","PRD00161","Paper Tape","PT-TAPE-161","outbound","120","boxes","2024-05-17T13:29:00","warehouse","WH007","customer","CUST-6829","SO-20240517-161","Customer order for tape","USR2091","Paper tape boxes shipped."
"IFLOW00049","WH003","Midwest Hub","18 Riverside Ave","St. Louis","MO","63101","USA","PRD00051","Polypropylene Straps","PS-STR-051","adjustment","60","rolls","2024-04-04T15:18:00","warehouse","WH003","warehouse","WH003","INVADJ-0051","Inventory adjustment after breakage","USR2055","Straps lost to breakage, adjusted."
"IFLOW00050","WH013","Grand Prairie Storage","390 Prairie Rd","Dallas","TX","75201","USA","PRD00172","Plastic Buckets","PB-BKT-172","inbound","1200","pieces","2024-03-06T09:19:00","supplier","SUP-3072","warehouse","WH013","PO-30720172","Bulk restocking for summer","USR2120","Plastic buckets delivered and stored."
"IFLOW00051","WH006","Riverbend Warehouse","431 Riverbend Ln","Little Rock","AR","72201","USA","PRD00129","Shipping Envelopes","SE-ENV-129","outbound","400","boxes","2024-05-11T12:00:00","warehouse","WH006","customer","CUST-5832","SO-20240511-129","Retail order fulfillment","USR2028","Envelopes boxed and shipped."
"IFLOW00052","WH004","Eastgate Logistics","340 Gate Blvd","Charlotte","NC","28202","USA","PRD00135","Plastic Bags","PB-BAG-135","transfer","3000","pieces","2024-02-05T13:31:00","warehouse","WH004","warehouse","WH008","TRF-20240205-008","Transfer to Sunrise Hub for retail","USR2008","Plastic bags transferred for customer orders."
"IFLOW00053","WH014","Lakeside Storage","850 Lakeside Way","Chicago","IL","60601","USA","PRD00153","Rubber Bands","RB-BND-153","adjustment","100","boxes","2024-04-02T15:55:00","warehouse","WH014","warehouse","WH014","INVADJ-0153","Shrinkage adjustment","USR2032","Rubber bands lost to shrinkage, adjusted."
"IFLOW00054","WH012","Metro East Distribution","77 Metro Blvd","Kansas City","MO","64108","USA","PRD00146","Packing Tubes","PT-TUB-146","inbound","500","pieces","2024-03-08T09:15:00","supplier","SUP-4806","warehouse","WH012","PO-48060146","Restocking for packaging","USR2011","Packing tubes delivered and stored."
"IFLOW00055","WH008","Sunrise Hub","712 Sunrise Cir","Phoenix","AZ","85001","USA","PRD00105","Foam Rolls","FR-ROLL-105","outbound","50","rolls","2024-05-05T13:05:00","warehouse","WH008","customer","CUST-9982","SO-20240505-105","Order fulfillment for foam rolls","USR2006","Foam rolls shipped, tracking sent."
"IFLOW00056","WH005","Pacific Coast Warehouse","900 Pacific Hwy","San Diego","CA","92101","USA","PRD00164","Cable Ties","CT-TIE-164","transfer","4000","pieces","2024-01-31T11:17:00","warehouse","WH005","warehouse","WH013","TRF-20240131-013","Transfer for cable tie demand","USR2020","Cable ties transferred for retail expansion."
"IFLOW00057","WH013","Grand Prairie Storage","390 Prairie Rd","Dallas","TX","75201","USA","PRD00077","Plastic Pouches","PP-POU-077","inbound","6000","pieces","2024-03-21T10:35:00","supplier","SUP-5612","warehouse","WH013","PO-56120077","Bulk restocking for summer","USR2120","Plastic pouches delivered, checked for defects."
"IFLOW00058","WH012","Metro East Distribution","77 Metro Blvd","Kansas City","MO","64108","USA","PRD00108","Stretch Film","SF-FLM-108","outbound","300","rolls","2024-05-14T16:00:00","warehouse","WH012","customer","CUST-6422","SO-20240514-108","Order fulfillment - packaging","USR2011","Stretch film boxed and shipped."
"IFLOW00059","WH014","Lakeside Storage","850 Lakeside Way","Chicago","IL","60601","USA","PRD00184","Foam Blocks","FB-BLK-184","adjustment","90","pieces","2024-04-03T14:44:00","warehouse","WH014","warehouse","WH014","INVADJ-0184","Adjustment after shrinkage","USR2032","Foam blocks adjusted after audit."
"IFLOW00060","WH003","Midwest Hub","18 Riverside Ave","St. Louis","MO","63101","USA","PRD00138","Bubble Bags","BB-BAG-138","inbound","2000","pieces","2024-03-09T09:47:00","supplier","SUP-6432","warehouse","WH003","PO-643200138","Restocking for Q2","USR2055","Bubble bags checked in for Q2 orders."
"IFLOW00061","WH002","Southport Central","44 Harbor Dr","Savannah","GA","31401","USA","PRD00102","Paperboard Sheets","PS-SHT-102","outbound","1000","pieces","2024-05-13T10:50:00","warehouse","WH002","customer","CUST-4552","SO-20240513-102","Customer order for paperboard","USR2003","Sheets shipped, delivery scheduled."
"IFLOW00062","WH011","Northfield Depot","208 Maple St","Minneapolis","MN","55401","USA","PRD00143","Tape Rollers","TR-ROL-143","transfer","600","pieces","2024-02-20T10:38:00","warehouse","WH011","warehouse","WH006","TRF-20240220-006","Transfer for new product launch","USR2072","Tape rollers sent for retail launch."
